,title,type,eps_count,rate,content_descriptors,seasons_count,series_launch_year,Votes
259,don't call us a junk game!,series,12,3.6,"الفجور, العنف",1,2020,164
260,"don't hurt me, my healer!",series,12,3.3,"الفجور, حوار ملمح, العنف",1,2022,6872
261,"don't toy with me, miss nagatoro",series,24,4.6,"العري, حوار ملمح",2,2021,74235
262,donyatsu,series,13,3.7,"الفجور, العنف",1,2015,205
263,double decker! doug & kirill,series,16,4.1,"تعاطي المخدرات/الكحول, العري, الفجور, التدخين, حوار ملمح, العنف",1,2018,663
264,dr. ramune -mysterious disease specialist-,series,12,4.5,"الفجور, المحتوى الجنسي, التعذيب, العنف",1,2021,2471
265,dr. stone,series,71,4.8,"العري, الفجور, التدخين, العنف",5,2019,154632
266,dragon ball daima,series,20,4.7,العنف,1,2025,62525
267,dragon ball movies,series,2,4.7,"تعاطي المخدرات/الكحول, العري, حوار ملمح, العنف",2,2023,16244
268,dragon collection,series,51,3.7,العنف,1,2014,147
269,dragon goes house-hunting,series,12,4.3,الفجور,1,2022,3718
270,dragon quest the adventure of dai,series,101,4.7,"الفجور, حوار ملمح, العنف",1,2020,8489
271,dragon raja -the blazing dawn-,series,17,4.5,"الفجور, العنف",1,2024,16373
272,dragonaut -the resonance-,series,26,3.2,"الصور الجنسية, العنف",1,2017,4119
273,dramatical murder,series,12,4.3,"الفجور, التدخين, العنف",1,2014,2912
274,dropkick on my devil!,series,37,4.5,"العري, حوار ملمح, العنف",4,2022,3809
275,dropout idol fruit tart,series,12,4.3,"تعاطي المخدرات/الكحول, الصور الجنسية",1,2022,708
276,drowning sorrows in raging fire,series,12,4.4,العنف,1,2022,771
277,drug store in another world - the slow life of a cheat pharmacist,series,12,3.8,"الفجور, الصور الجنسية, حوار ملمح",1,2021,9990
278,eagle talon ~golden spell~,series,12,2.9,"الفجور, التدخين, حوار ملمح, العنف",1,2020,86
279,eden of the east,series,13,4.6,"العري, الفجور, المحتوى الجنسي, العنف",2,2023,2903
280,edens zero,series,26,4.7,"الفجور, التدخين, الصور الجنسية, العنف",2,2023,7772
281,elegant yokai apartment life,series,26,4.6,"الفجور, التدخين, الصور الجنسية, العنف",1,2017,3012
282,engage kiss,series,13,4.6,"التدخين, الصور الجنسية, العنف",1,2022,20231
283,estab life: great escape,series,12,3.6,"الفجور, المحتوى الجنسي, حوار ملمح, العنف",1,2022,791
284,etotama,series,12,4.1,"المحتوى الجنسي, الصور الجنسية, حوار ملمح, العنف",1,2015,405
285,"even given the worthless ""appraiser"" class,  i'm actually the strongest",series,12,4.3,"الفجور, حوار ملمح, العنف",1,2025,27513
